id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
bin__msidb	bin/msidb	elf	misc	False	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__msiexec	bin/msiexec	elf	misc	False	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__notepad	bin/notepad	elf	misc	False	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__regedit	bin/regedit	elf	misc	False	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__regsvr32	bin/regsvr32	elf	misc	False	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__widl	bin/widl	elf	misc	False	660648	2d8d65d5d50912724fac75647d4d188104a66aab2005224d22d1993f8c8c6a2c	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	77	0	0	proton|wine|x11
bin__wine	bin/wine	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__wine-preloader	bin/wine-preloader	elf	misc	True	44496	c078b1ee39ccfa30061574cceeaa694b6769e7207530828f3449c04cb2183584	ELF64	AArch64	EXEC (Executable file)		0		0	0	0	0	wine
bin__wine64	bin/wine64	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__wineboot	bin/wineboot	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__winebuild	bin/winebuild	elf	misc	True	199344	80a9e67821456fe356996e4d26bf4caddd9d8d8e10b395600cf1ae5a37df920c	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	74	0	0	proton|wine
bin__winecfg	bin/winecfg	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__wineconsole	bin/wineconsole	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__winecpp	bin/winecpp	elf	misc	True	67608	0bb7f27c03a386625b1b3997f57272292552dea1b15d0b7c3aa6e57960496857	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	58	0	0	kernel32|ntdll|proton|wine
bin__winedbg	bin/winedbg	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__winedump	bin/winedump	elf	cpu_translation	True	395880	2dfcdcaf05c9e5bba14a272c38dac1498cd18e36593bd63b7f5ae52be9b1b5e6	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	60	0	0	fex|proton|wine
bin__winefile	bin/winefile	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
