id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
assets__steampipe__steam_api.dll	assets/steampipe/steam_api.dll	pe	misc	False	5888936	4cc9dfcab8b4df0db507fa91d0acec6e58693fd4edd78dc80d39bda8072d08ed		unknown		steam_api.dll	12	WS2_32.dll|IPHLPAPI.DLL|bcrypt.dll|dbghelp.dll|XINPUT1_4.dll|KERNEL32.dll|USER32.dll|ADVAPI32.dll|SHELL32.dll|ole32.dll|SETUPAPI.dll|WINMM.dll	0	0	0	0	epoll|kernel32|ntdll|steam|wow64
assets__steampipe__steam_api64.dll	assets/steampipe/steam_api64.dll	pe	misc	False	7305128	513430ac8b869b0eed258d9e5feba5176a35446b3b61a63d01ab1d87683cdd1b		unknown		steam_api64.dll	12	WS2_32.dll|IPHLPAPI.DLL|bcrypt.dll|dbghelp.dll|XINPUT1_4.dll|KERNEL32.dll|USER32.dll|ADVAPI32.dll|SHELL32.dll|ole32.dll|SETUPAPI.dll|WINMM.dll	0	0	0	0	epoll|kernel32|ntdll|steam|wow64
lib__arm64-v8a__libandroidx.graphics.path.so	lib/arm64-v8a/libandroidx.graphics.path.so	elf	misc	False	10096	41e9a793c43a0f4fddb19e33f346bace464f30f888ba7b9eaf96294ea115bfb6	ELF64	AArch64	DYN (Shared object file)	libandroidx.graphics.path.so	3	libm.so|libdl.so|libc.so	1	7	0	0	
lib__arm64-v8a__libc++_shared.so	lib/arm64-v8a/libc++_shared.so	elf	cpu_translation	True	1292896	4e2dcc0b0beae5c9dcbf25d90400a4de203cbffbfae6526d4be7befa88a77c09	ELF64	AArch64	DYN (Shared object file)	libc++_shared.so	3	libc.so|libm.so|libdl.so	2337	160	0	0	fex|proton|x11
lib__arm64-v8a__libdatastore_shared_counter.so	lib/arm64-v8a/libdatastore_shared_counter.so	elf	misc	False	7112	d3e48717c9aa147e0ab21063ba0e8e0211cabf8bf40b222640829519edbf58e1	ELF64	AArch64	DYN (Shared object file)	libdatastore_shared_counter.so	3	libm.so|libdl.so|libc.so	9	10	4	0	
lib__arm64-v8a__libdummyvk.so	lib/arm64-v8a/libdummyvk.so	elf	cpu_translation	True	1813296	173c8c4927bed81148874cbb700585f931ee833823545f5f2a64381db445c5e6	ELF64	AArch64	DYN (Shared object file)	libdummyvk.so	6	libandroid.so|liblog.so|libvulkan.so|libm.so|libdl.so|libc.so	1930	127	1	5	fex|memfd|proton|vulkan
lib__arm64-v8a__libevshim.so	lib/arm64-v8a/libevshim.so	elf	misc	False	11712	72fb647096325282e78dd83879528d9a2d360579d4a6ed07f607af42df9ce524	ELF64	AArch64	DYN (Shared object file)	libevshim.so	5	libSDL2.so|liblog.so|libdl.so|libm.so|libc.so	4	25	0	0	
lib__arm64-v8a__libextras.so	lib/arm64-v8a/libextras.so	elf	cpu_translation	True	2285496	757fa1673787e704c432e4e583c4e6bbdb0cb63e3529f463ed087a90ee803515	ELF64	AArch64	DYN (Shared object file)	libextras.so	8	liblog.so|libandroid.so|libEGL.so|libGLESv2.so|libGLESv3.so|libdl.so|libm.so|libc.so	557	93	10	2	fex|proton|vulkan
lib__arm64-v8a__libhook_impl.so	lib/arm64-v8a/libhook_impl.so	elf	cpu_translation	True	2181616	4c26f1528ca2049e4d2398a314178f89042e10e35917456d5e578d077c4c4872	ELF64	AArch64	DYN (Shared object file)	libhook_impl.so	5	liblog.so|libandroid.so|libdl.so|libm.so|libc.so	536	77	0	0	fex|proton|vulkan
lib__arm64-v8a__libltdl.so	lib/arm64-v8a/libltdl.so	elf	misc	False	34424	9edbccc42de49244d42a5e8fdc001828cf5a5512f1705419bcd96e23783c2998	ELF64	AArch64	DYN (Shared object file)	libltdl.so	2	libdl.so|libc.so	78	36	0	0	
lib__arm64-v8a__libmain_hook.so	lib/arm64-v8a/libmain_hook.so	elf	misc	False	8152	661ed2bb87c38bb00774c64e96de512bc709c260264193e2bb3e2a240b76b325	ELF64	AArch64	DYN (Shared object file)	libmain_hook.so	6	libhook_impl.so|libandroid.so|libdl.so|liblog.so|libm.so|libc.so	2	5	0	0	
