
Dynamic section at offset 0x79a44 contains 27 entries:
  Tag        Type                         Name/Value
 0x00000003 (PLTGOT)                     0x7aba8
 0x00000002 (PLTRELSZ)                   2200 (bytes)
 0x00000017 (JMPREL)                     0x55fc
 0x00000014 (PLTREL)                     REL
 0x00000011 (REL)                        0x4434
 0x00000012 (RELSZ)                      4552 (bytes)
 0x00000013 (RELENT)                     8 (bytes)
 0x6ffffffa (RELCOUNT)                   546
 0x00000006 (SYMTAB)                     0x1cc
 0x0000000b (SYMENT)                     16 (bytes)
 0x00000005 (STRTAB)                     0x1cac
 0x0000000a (STRSZ)                      6398 (bytes)
 0x6ffffef5 (GNU_HASH)                   0x35ac
 0x00000001 (NEEDED)                     Shared library: [libm.so]
 0x00000001 (NEEDED)                     Shared library: [libdl.so]
 0x00000001 (NEEDED)                     Shared library: [libc.so]
 0x0000000e (SONAME)                     Library soname: [libsndfile.so]
 0x0000001a (FINI_ARRAY)                 0x7aa3c
 0x0000001c (FINI_ARRAYSZ)               8 (bytes)
 0x0000001e (FLAGS)                      BIND_NOW
 0x6ffffffb (FLAGS_1)                    Flags: NOW
 0x6ffffff0 (VERSYM)                     0x406c
 0x6ffffffc (VERDEF)                     0x43c8
 0x6ffffffd (VERDEFNUM)                  1
 0x6ffffffe (VERNEED)                    0x43e4
 0x6fffffff (VERNEEDNUM)                 2
 0x00000000 (NULL)                       0x0
