id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
assets__libwbsafeedit	assets/libwbsafeedit	elf	misc	False	17636	d48c0bba5f355a92f8b8e9b13c455da6ad71a7d5191604b7b03e268d72fba557	ELF32	ARM	DYN (Shared object file)	libwbsafeedit.so	5	liblog.so|libstdc++.so|libm.so|libc.so|libdl.so	75	14	7	0	
assets__libwbsafeedit_64	assets/libwbsafeedit_64	elf	misc	False	18024	119b9dd4145e1ed0faaae9571c388b3a9f0e14e99f2f43adf7486e7d6dd58799	ELF64	AArch64	DYN (Shared object file)	libwbsafeedit.so	5	liblog.so|libstdc++.so|libm.so|libc.so|libdl.so	28	13	7	0	
assets__libwbsafeedit_x86	assets/libwbsafeedit_x86	elf	misc	False	17600	40938ea0b7b78e4a9c9418dd9876325df904ffa2a6244fa0ccc9759f80d9e302	ELF32	Intel 80386	DYN (Shared object file)	libwbsafeedit.so	5	liblog.so|libstdc++.so|libm.so|libc.so|libdl.so	24	11	7	0	
assets__libwbsafeedit_x86_64	assets/libwbsafeedit_x86_64	elf	misc	False	18344	27dc2d98c1bc44f69078906556a2ea95032b01cb6e6cf6b9641ece215cca6373	ELF64	Advanced Micro Devices X86-64	DYN (Shared object file)	libwbsafeedit.so	5	liblog.so|libstdc++.so|libm.so|libc.so|libdl.so	24	12	7	0	
lib__arm64-v8a__libGamesir.so	lib/arm64-v8a/libGamesir.so	elf	misc	False	27232	15a7295bf9693ebe43e67e7732dd32a7260615d11eee3cb40234487b0af1d0fb	ELF64	AArch64	DYN (Shared object file)	libGamesir.so	4	liblog.so|libm.so|libdl.so|libc.so	77	10	23	0	
lib__arm64-v8a__libJieLiUsbOta.so	lib/arm64-v8a/libJieLiUsbOta.so	elf	cpu_translation	True	902560	daf4fb614e37c4133b80730cb1ca1624906727c76a7ee548d3773617744b5909	ELF64	AArch64	DYN (Shared object file)	libJieLiUsbOta.so	4	liblog.so|libm.so|libdl.so|libc.so	1936	113	3	0	fex|proton
lib__arm64-v8a__libadb.so	lib/arm64-v8a/libadb.so	elf	misc	False	90392	872485121f43f71374ad62447312d034f98ad4c2d4be691ecbefaa6af45a14b8	ELF64	AArch64	DYN (Shared object file)	libadb.so	4	liblog.so|libm.so|libdl.so|libc.so	3	34	1	0	
lib__arm64-v8a__libalicomphonenumberauthsdk_core.so	lib/arm64-v8a/libalicomphonenumberauthsdk_core.so	elf	misc	False	5544	e6fc6cb56da624026d67037b3df4a6083781a064b98b37e73aa8877b644fb2bf	ELF64	AArch64	DYN (Shared object file)	libalicomphonenumberauthsdk_core.so	4	liblog.so|libm.so|libdl.so|libc.so	1	11	1	0	
lib__arm64-v8a__libandroidx.graphics.path.so	lib/arm64-v8a/libandroidx.graphics.path.so	elf	misc	False	10096	41e9a793c43a0f4fddb19e33f346bace464f30f888ba7b9eaf96294ea115bfb6	ELF64	AArch64	DYN (Shared object file)	libandroidx.graphics.path.so	3	libm.so|libdl.so|libc.so	1	7	0	0	
lib__arm64-v8a__libavutil-55.so	lib/arm64-v8a/libavutil-55.so	elf	cpu_translation	True	366152	3ae207f0ae9b3d9cc0c9f87cfe1377424c6c1e86e63bbf4d9d900f487f13e777	ELF64	AArch64	DYN (Shared object file)	libavutil-55.so	2	libm.so|libc.so	489	81	0	0	fex
lib__arm64-v8a__libblur-lib.so	lib/arm64-v8a/libblur-lib.so	elf	misc	False	9944	3b2c046810ba93ec5cb100c5ad3dd0f35251dee42f80aaf561480b402f60fdca	ELF64	AArch64	DYN (Shared object file)	libblur-lib.so	6	liblog.so|libjnigraphics.so|libm.so|libstdc++.so|libdl.so|libc.so	12	9	1	0	
lib__arm64-v8a__libcrashsdk.so	lib/arm64-v8a/libcrashsdk.so	elf	misc	False	647928	a8a0f925488f09d2321942f05ba8928784b4119d3da1ff55451f96c1ccd54f9c	ELF64	AArch64	DYN (Shared object file)	libcrashsdk.so	4	liblog.so|libz.so|libc.so|libdl.so	20	169	0	0	
lib__arm64-v8a__libdatastore_shared_counter.so	lib/arm64-v8a/libdatastore_shared_counter.so	elf	misc	False	7112	d3e48717c9aa147e0ab21063ba0e8e0211cabf8bf40b222640829519edbf58e1	ELF64	AArch64	DYN (Shared object file)	libdatastore_shared_counter.so	3	libm.so|libdl.so|libc.so	9	10	4	0	
lib__arm64-v8a__libffmpeg-command.so	lib/arm64-v8a/libffmpeg-command.so	elf	cpu_translation	True	493744	cb48a4c08d877d3e5d0b1bdae0333eff5f87ba9a654606849a141b12ce3135ce	ELF64	AArch64	DYN (Shared object file)	libffmpeg-command.so	5	libffmpeg-org.so|liblog.so|libm.so|libdl.so|libc.so	585	409	15	0	fex|proton
lib__arm64-v8a__libffmpeg-org.so	lib/arm64-v8a/libffmpeg-org.so	elf	cpu_translation	True	18406632	ed3512e282f08c1346027014ea5e2cd76b58c8fe29d8e095274630d74175f74f	ELF64	AArch64	DYN (Shared object file)	libffmpeg-org.so	6	libc.so|libm.so|libz.so|libdl.so|liblog.so|libandroid.so	10114	248	0	0	fex|vulkan|x11
lib__arm64-v8a__libgpuinfo.so	lib/arm64-v8a/libgpuinfo.so	elf	misc	False	341944	57aeb86443860acff2b47a1f3e78eae745a046afb921061dae8f0f3707340579	ELF64	AArch64	DYN (Shared object file)	libgpuinfo.so	4	libvulkan.so|libm.so|libdl.so|libc.so	524	71	4	5	proton|vulkan|wine
lib__arm64-v8a__libijkffmpeg.so	lib/arm64-v8a/libijkffmpeg.so	elf	cpu_translation	True	6216312	526b247dd1857c4df5c2b236e2c3ab6f9d64a9498b46b582d0fad5de32c42514	ELF64	AArch64	DYN (Shared object file)	libijkffmpeg.so	4	libm.so|libz.so|libdl.so|libc.so	8588	197	0	0	fex
lib__arm64-v8a__libijkplayer.so	lib/arm64-v8a/libijkplayer.so	elf	cpu_translation	True	545704	16a2954c81affb9b058dec54466dd4d17e1b08adf92d817feb1138403d9f51dd	ELF64	AArch64	DYN (Shared object file)	libijkplayer.so	7	libijkffmpeg.so|libijksdl.so|liblog.so|libandroid.so|libdl.so|libc.so|libm.so	831	359	1	0	fex|proton
lib__arm64-v8a__libijksdl.so	lib/arm64-v8a/libijksdl.so	elf	misc	False	362832	7b0818ce97da420c387780dfc2fcb7c91983efd97ec9eba0c0c838d41b041075	ELF64	AArch64	DYN (Shared object file)	libijksdl.so	9	libijkffmpeg.so|liblog.so|libandroid.so|libOpenSLES.so|libEGL.so|libGLESv2.so|libdl.so|libc.so|libm.so	886	122	1	0	
