id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
bin__widl	bin/widl	elf	misc	False	1937984	26f920092ac19c60aab0038d12260b3be8072e5542cdcd52804f7c813b46ebfb	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	78	0	0	proton|wine|x11
bin__wine	bin/wine	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__wine-preloader	bin/wine-preloader	elf	misc	True	44496	c078b1ee39ccfa30061574cceeaa694b6769e7207530828f3449c04cb2183584	ELF64	AArch64	EXEC (Executable file)		0		0	0	0	0	wine
bin__wine64	bin/wine64	elf	misc	True	15800	6a033729202b424267d286649a029ad897d48164301645bdcb120eec9f8fdafd	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	24	0	0	ntdll|wine
bin__winebuild	bin/winebuild	elf	misc	True	700816	d558486359114c637c66d7e03c3b7f251d6e33b78961b905e0c0ea6355daee77	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	74	0	0	proton|wine
bin__winecpp	bin/winecpp	elf	misc	True	306000	7d189c0cf345ea7fd074808b6b1b4f257e166572d4188007c308242292dee7b7	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	57	0	0	kernel32|ntdll|proton|wine
bin__winedump	bin/winedump	elf	cpu_translation	True	1333104	c0de3a99ad41de9cf6598f0d6467ba8e4b73032421556570e4068867f9744923	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	60	0	0	fex|proton|wine
bin__wineg++	bin/wineg++	elf	misc	True	306000	7d189c0cf345ea7fd074808b6b1b4f257e166572d4188007c308242292dee7b7	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	57	0	0	kernel32|ntdll|proton|wine
bin__winegcc	bin/winegcc	elf	misc	True	306000	7d189c0cf345ea7fd074808b6b1b4f257e166572d4188007c308242292dee7b7	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	57	0	0	kernel32|ntdll|proton|wine
bin__wineserver	bin/wineserver	elf	wine_runtime_core	True	3471656	3479531b766d9914a4b17abe04f5e68bfa743376637b437ea38fa322e52a463c	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	1	140	0	0	epoll|memfd|proton|wine|wineserver|wow64
bin__wmc	bin/wmc	elf	misc	False	227720	0e7c875e77fc6cd8f44b17cf00378c64fc2b5ae9f208a43014051012598adaaa	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	53	0	0	proton|wine
bin__wrc	bin/wrc	elf	misc	False	701400	943780a3b6a609f3e897a8941a9a1ccb260e48d73bf3223b41be7fc4d3450e72	ELF64	AArch64	DYN (Position-Independent Executable file)		1	libc.so.6	4	73	0	0	proton|wine
lib__wine__aarch64-unix__avicap32.so	lib/wine/aarch64-unix/avicap32.so	elf	misc	True	17376	cadea2f2443149659b93d556bdf2bbdc8ce0b9b15c3cc3b642fae3f2edd6a6b2	ELF64	AArch64	DYN (Shared object file)	avicap32.so	3	ntdll.so|libdl.so|libc.so	2	15	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__bcrypt.so	lib/wine/aarch64-unix/bcrypt.so	elf	misc	True	214424	36b5d44ffbf8fccf920dd9c003c4b0ee492b57564dba629ae129344e38459bd9	ELF64	AArch64	DYN (Shared object file)	bcrypt.so	3	ntdll.so|libdl.so|libc.so	2	24	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__crypt32.so	lib/wine/aarch64-unix/crypt32.so	elf	misc	True	55104	60303ea01ca1828a31b5b2cf68cfbd9a8ddb6af32852e8855d9124bc19d5a7dd	ELF64	AArch64	DYN (Shared object file)	crypt32.so	3	ntdll.so|libdl.so|libc.so	2	30	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__ctapi32.so	lib/wine/aarch64-unix/ctapi32.so	elf	misc	True	11440	fd75913543eeb83890a9771be12a577dbc45656fe03d32204a4967e7581a9101	ELF64	AArch64	DYN (Shared object file)	ctapi32.so	3	ntdll.so|libdl.so|libc.so	2	6	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__dnsapi.so	lib/wine/aarch64-unix/dnsapi.so	elf	misc	True	20712	51a64078074d7e40fbfb91307b6d915e50e3bc1555ea11b5b1c41e7847a11430	ELF64	AArch64	DYN (Shared object file)	dnsapi.so	3	ntdll.so|libdl.so|libc.so	2	10	0	0	ANDROID_RESOLV_DNS|ntdll|wine|wow64
lib__wine__aarch64-unix__dwrite.so	lib/wine/aarch64-unix/dwrite.so	elf	misc	True	65952	2d82f131c5b32f18513f57050a437441908b83af892acb205b79e73e843d9412	ELF64	AArch64	DYN (Shared object file)	dwrite.so	3	ntdll.so|libdl.so|libc.so	2	10	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__kerberos.so	lib/wine/aarch64-unix/kerberos.so	elf	misc	True	4952	5d7cb6935d6926dcf526f24b24a4eb015c7d4061007e85083155d3cf4318f55b	ELF64	AArch64	DYN (Shared object file)	kerberos.so	3	ntdll.so|libdl.so|libc.so	0	3	0	0	ntdll
lib__wine__aarch64-unix__localspl.so	lib/wine/aarch64-unix/localspl.so	elf	misc	True	23448	aba25e09fb2ecbcc8da8b9000e9f58d014858b0ad08e8ab1032bf93aff228ebf	ELF64	AArch64	DYN (Shared object file)	localspl.so	3	ntdll.so|libdl.so|libc.so	2	22	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__mountmgr.so	lib/wine/aarch64-unix/mountmgr.so	elf	misc	True	50520	9748ccd395107570d79ec6270a310ddf91b2ccbba0c2a1a66fe9ca4e6f65ea5f	ELF64	AArch64	DYN (Shared object file)	mountmgr.so	3	ntdll.so|libdl.so|libc.so	1	33	0	0	ntdll|wine
lib__wine__aarch64-unix__msv1_0.so	lib/wine/aarch64-unix/msv1_0.so	elf	misc	True	27656	fad5f2e7cb14a45effc53c1883c9227320d4123ec340958384678e67a114ab1d	ELF64	AArch64	DYN (Shared object file)	msv1_0.so	3	ntdll.so|libdl.so|libc.so	2	29	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__netapi32.so	lib/wine/aarch64-unix/netapi32.so	elf	misc	True	4952	ea21768c85685eefc39bdaf3f5cab870766deabd1777c4c714faf95522ecfe76	ELF64	AArch64	DYN (Shared object file)	netapi32.so	3	ntdll.so|libdl.so|libc.so	0	3	0	0	ntdll
lib__wine__aarch64-unix__nsiproxy.so	lib/wine/aarch64-unix/nsiproxy.so	elf	misc	True	356864	041d30ff937254b580c04ada9bb76f75b2680100b1dd24551519a222026bc08b	ELF64	AArch64	DYN (Shared object file)	nsiproxy.so	3	ntdll.so|libdl.so|libc.so	2	56	0	0	memfd|ntdll|steam|wine|wow64
lib__wine__aarch64-unix__ntdll.so	lib/wine/aarch64-unix/ntdll.so	elf	wine_runtime_core	True	3169328	ba4f6fb5bbbee81b489d34a972fbb8c2fcd49cee08809191ca381496b29aae9b	ELF64	AArch64	DYN (Shared object file)	ntdll.so	2	libdl.so|libc.so	275	205	0	0	fex|memfd|ntdll|proton|steam|wine|wineserver|wow64|x11
lib__wine__aarch64-unix__odbc32.so	lib/wine/aarch64-unix/odbc32.so	elf	misc	True	106408	53c58cf41dd8b0a5532299043bdac2cd51512b538df004167dba041f02335664	ELF64	AArch64	DYN (Shared object file)	odbc32.so	3	ntdll.so|libdl.so|libc.so	1	12	0	0	ntdll|wine
lib__wine__aarch64-unix__opencl.so	lib/wine/aarch64-unix/opencl.so	elf	misc	True	87392	48867dd834a2caa6385684a35d8f7d6be1a80862feadb05e6c85049d1a7606c3	ELF64	AArch64	DYN (Shared object file)	opencl.so	2	ntdll.so|libc.so.6	5	3	0	0	ntdll|proton|wine
lib__wine__aarch64-unix__opengl32.so	lib/wine/aarch64-unix/opengl32.so	elf	cpu_translation	True	5810600	c916a68e27cd9adee40e387672ea215730d51945883c42a3fe17128bf44f9efe	ELF64	AArch64	DYN (Shared object file)	opengl32.so	4	ntdll.so|win32u.so|libdl.so|libc.so	3	43	0	0	fex|memfd|ntdll|steam|vulkan|wine|wow64|x11
lib__wine__aarch64-unix__qcap.so	lib/wine/aarch64-unix/qcap.so	elf	misc	True	143152	2b23f9c6f36f0a3d700c6db0bb4482a1b8aa6863e5bc672be856628d01d90781	ELF64	AArch64	DYN (Shared object file)	qcap.so	3	ntdll.so|libdl.so|libc.so	2	18	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__secur32.so	lib/wine/aarch64-unix/secur32.so	elf	misc	True	123808	950e7936800554404837df737dda984558427af6858988002c4b8b7b3d2806ad	ELF64	AArch64	DYN (Shared object file)	secur32.so	3	ntdll.so|libdl.so|libc.so	2	24	0	0	ntdll|proton|wine|wow64
lib__wine__aarch64-unix__win32u.so	lib/wine/aarch64-unix/win32u.so	elf	cpu_translation	True	6350696	bfffeeb2d2047024bf58a195470ef10b9749028b3fae651a9e87c4c2d31c2cfb	ELF64	AArch64	DYN (Shared object file)	win32u.so	4	ntdll.so|libm.so|libdl.so|libc.so	416	120	0	1	dxvk|fex|memfd|ntdll|steam|vulkan|wine|wow64|x11
lib__wine__aarch64-unix__windows.media.speech.so	lib/wine/aarch64-unix/windows.media.speech.so	elf	misc	True	12656	ffa49cd494769a1ad9d6cb968f1b441f5f95fdbc5430be7943d75d14b9ff753c	ELF64	AArch64	DYN (Shared object file)	windows.media.speech.so	3	ntdll.so|libdl.so|libc.so	2	6	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__winealsa.so	lib/wine/aarch64-unix/winealsa.so	elf	audio	True	314048	ecd564815806c2389ed4e017875aa560caafc05b55afc33532dad592bfb00e14	ELF64	AArch64	DYN (Shared object file)	winealsa.so	4	ntdll.so|libasound.so.2|libdl.so|libc.so	2	132	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__winebth.so	lib/wine/aarch64-unix/winebth.so	elf	misc	True	88912	dc37179b478ccda7b2a86e87c43f916752b49539382e1995e5e582540b03b16f	ELF64	AArch64	DYN (Shared object file)	winebth.so	2	ntdll.so|libc.so.6	5	10	0	0	ntdll|proton|wine
