id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
bin__wine	bin/wine	elf	misc	True	11216	bbb474f5fe8d61e189203c7ad4ede0ed1d4cd06bc496a71d867936a89881a3c8	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	3	23	0	0	ntdll|wine
bin__wine-preloader	bin/wine-preloader	elf	misc	True	21064	e92dc5b98eb6dfe1545c1131006b1166385ba8ae918e348723b92c2e78f95081	ELF64	AArch64	EXEC (Executable file)		0		0	0	0	0	wine
bin__wineserver	bin/wineserver	elf	wine_runtime_core	True	1044624	60e2b085f0d48884e9467d1589fc31ad578b7eaf4eaed844e73d22e791d6c13a	ELF64	AArch64	DYN (Position-Independent Executable file)		2	libdl.so|libc.so	1	142	0	0	epoll|memfd|proton|wine|wineserver|wow64
lib__wine__aarch64-unix__avicap32.so	lib/wine/aarch64-unix/avicap32.so	elf	misc	True	9392	5c46926075a9137b2a49d2c76770f49d820ba5f2d92f9cecec0e801b86a9e8ee	ELF64	AArch64	DYN (Shared object file)	avicap32.so	3	ntdll.so|libdl.so|libc.so	2	16	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__bcrypt.so	lib/wine/aarch64-unix/bcrypt.so	elf	misc	True	81848	6ae6b7695b66fcbb8b0323f2117d8800271533224e26d0195f667dc88f6cc434	ELF64	AArch64	DYN (Shared object file)	bcrypt.so	3	ntdll.so|libdl.so|libc.so	2	25	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__crypt32.so	lib/wine/aarch64-unix/crypt32.so	elf	misc	True	27328	cae841cc9853841afa1c1fede68e75cbc4eddf824517670845473afbbcdb9e60	ELF64	AArch64	DYN (Shared object file)	crypt32.so	3	ntdll.so|libdl.so|libc.so	2	32	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__ctapi32.so	lib/wine/aarch64-unix/ctapi32.so	elf	misc	True	7616	5e7455a91a604b9ce9eef9d37c2012515ff22f952fc5f7cb949d8fc79a496db9	ELF64	AArch64	DYN (Shared object file)	ctapi32.so	3	ntdll.so|libdl.so|libc.so	2	6	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__dnsapi.so	lib/wine/aarch64-unix/dnsapi.so	elf	misc	True	10544	72c321414497dd3428b819b25a14e96146edf5dbff2d1a71b7ac9aed5523fae1	ELF64	AArch64	DYN (Shared object file)	dnsapi.so	3	ntdll.so|libdl.so|libc.so	2	11	0	0	ANDROID_RESOLV_DNS|ntdll|wine|wow64
lib__wine__aarch64-unix__dwrite.so	lib/wine/aarch64-unix/dwrite.so	elf	misc	True	26216	8b9e7393b086ca480c934f329bdc1e47d5481e593ec46e5ad86990c497f5f365	ELF64	AArch64	DYN (Shared object file)	dwrite.so	3	ntdll.so|libdl.so|libc.so	2	11	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__kerberos.so	lib/wine/aarch64-unix/kerberos.so	elf	misc	True	4936	6d77043b9ac19b31094d695d1ad081c2a492dd165b97c344d6f9aaa5d9067192	ELF64	AArch64	DYN (Shared object file)	kerberos.so	3	ntdll.so|libdl.so|libc.so	0	3	0	0	ntdll
lib__wine__aarch64-unix__localspl.so	lib/wine/aarch64-unix/localspl.so	elf	misc	True	12744	cf57bd978b51c64b4c533e40dabd741be9849bf42dba1d6bf1a2ae9f309f2c36	ELF64	AArch64	DYN (Shared object file)	localspl.so	3	ntdll.so|libdl.so|libc.so	2	22	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__mountmgr.so	lib/wine/aarch64-unix/mountmgr.so	elf	misc	True	23344	e36ed4354a9e924e0d9aaefe62cdeb5805cb5de979bb686d08336a1fa3546b65	ELF64	AArch64	DYN (Shared object file)	mountmgr.so	3	ntdll.so|libdl.so|libc.so	1	32	0	0	ntdll|wine
lib__wine__aarch64-unix__msv1_0.so	lib/wine/aarch64-unix/msv1_0.so	elf	misc	True	15128	8cd0740b124a8b1317f2d45cf52f923a3f98f627f2607c7046b35dac20ab989e	ELF64	AArch64	DYN (Shared object file)	msv1_0.so	3	ntdll.so|libdl.so|libc.so	2	29	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__netapi32.so	lib/wine/aarch64-unix/netapi32.so	elf	misc	True	4936	1b83fd49ecce93ac87ea477cfd7cc98c21b1691a881f4f8322fee06ab5e34a76	ELF64	AArch64	DYN (Shared object file)	netapi32.so	3	ntdll.so|libdl.so|libc.so	0	3	0	0	ntdll
lib__wine__aarch64-unix__nsiproxy.so	lib/wine/aarch64-unix/nsiproxy.so	elf	misc	True	92928	2f0275953593f8dea18b052d7f0fa839b990f6656c1ef658835cfd9a2c53217e	ELF64	AArch64	DYN (Shared object file)	nsiproxy.so	3	ntdll.so|libdl.so|libc.so	2	61	0	0	memfd|ntdll|steam|wine
lib__wine__aarch64-unix__ntdll.so	lib/wine/aarch64-unix/ntdll.so	elf	wine_runtime_core	True	914976	a98f557871eb2b9cb5d934e21ab03690549cc21b5e27e9459f6cf41bafd11689	ELF64	AArch64	DYN (Shared object file)	ntdll.so	2	libdl.so|libc.so	283	207	1	0	memfd|ntdll|proton|steam|wine|wineserver|wow64|x11
lib__wine__aarch64-unix__odbc32.so	lib/wine/aarch64-unix/odbc32.so	elf	misc	True	85496	b0a798be94dbfd8eb85cb42619b27446325d0683798b5ebb018a3aeea4c55938	ELF64	AArch64	DYN (Shared object file)	odbc32.so	3	ntdll.so|libdl.so|libc.so	2	26	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__opencl.so	lib/wine/aarch64-unix/opencl.so	elf	misc	True	18800	8f350373e3b0d46997074cb5799ad645d2471a3e5c7cda0b6f2fe29f2334d007	ELF64	AArch64	DYN (Shared object file)	opencl.so	3	ntdll.so|libdl.so|libc.so	1	6	0	0	ntdll|wine
lib__wine__aarch64-unix__opengl32.so	lib/wine/aarch64-unix/opengl32.so	elf	cpu_translation	True	2166696	65b7f60ea3617c292b12b0d3a415c64a045207049986e1d3f9937933041c93b9	ELF64	AArch64	DYN (Shared object file)	opengl32.so	4	ntdll.so|win32u.so|libdl.so|libc.so	2	36	0	0	fex|ntdll|steam|vulkan|wine|wow64|x11
lib__wine__aarch64-unix__qcap.so	lib/wine/aarch64-unix/qcap.so	elf	misc	True	76144	8f0495f415b6661a75b492b8a7594850385ffb90486f675f8c252ef5794506cb	ELF64	AArch64	DYN (Shared object file)	qcap.so	3	ntdll.so|libdl.so|libc.so	2	21	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__secur32.so	lib/wine/aarch64-unix/secur32.so	elf	misc	True	55256	ea17917318b295433262384435c4ec3a8422f56cb3908dfbe89a6670f7e1512e	ELF64	AArch64	DYN (Shared object file)	secur32.so	3	ntdll.so|libdl.so|libc.so	2	26	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__win32u.so	lib/wine/aarch64-unix/win32u.so	elf	misc	True	1966352	897a6b844a1176deba9da431c97d89b2fd135177ecec714e3da822505771110f	ELF64	AArch64	DYN (Shared object file)	win32u.so	4	ntdll.so|libm.so|libdl.so|libc.so	465	121	0	1	dxvk|memfd|ntdll|proton|steam|vulkan|wine|x11
lib__wine__aarch64-unix__windows.media.speech.so	lib/wine/aarch64-unix/windows.media.speech.so	elf	misc	True	8472	1a760d84cce5c7460a202f1af892558f33d821a818329a8dab97dc529900a743	ELF64	AArch64	DYN (Shared object file)	windows.media.speech.so	3	ntdll.so|libdl.so|libc.so	2	6	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__winealsa.so	lib/wine/aarch64-unix/winealsa.so	elf	audio	True	133480	752831ccf1c104ceebe2b4d5a4fb3f168031ed005f8d6297ac02e1c69228c1de	ELF64	AArch64	DYN (Shared object file)	winealsa.so	4	ntdll.so|libasound.so|libdl.so|libc.so	2	133	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__winebth.so	lib/wine/aarch64-unix/winebth.so	elf	misc	True	14200	0c0be16c6cefe34f35417fabc1c74f480daebadfaa2edfa8b671cc0966e2a745	ELF64	AArch64	DYN (Shared object file)	winebth.so	3	ntdll.so|libdl.so|libc.so	1	14	0	0	ntdll|wine
