library	tier	cluster	size_bytes	needed_count	needed	export_count	jni_export_count	key_exports
libGamesir.so	tier2	input_peripheral	27232	4	liblog.so|libm.so|libdl.so|libc.so	77	23	Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decodeZhiWanConfig|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoyData|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoyDataYuneec|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoytouchData|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoytouchDataG5
libJieLiUsbOta.so	tier2	input_peripheral	902560	4	liblog.so|libm.so|libdl.so|libc.so	1936	3	Java_com_jieli_bootloader_hid_HidClient_nativeDestroy|Java_com_jieli_bootloader_hid_HidClient_nativeInit|Java_com_jieli_bootloader_hid_HidClient_nativeStartUpgrade
libadb.so	tier2	misc	90392	4	liblog.so|libm.so|libdl.so|libc.so	1	0	JNI_OnLoad
libalicomphonenumberauthsdk_core.so	tier2	misc	5544	4	liblog.so|libm.so|libdl.so|libc.so	1	1	Java_com_mobile_auth_gatewayauth_utils_Checker_c
libandroidx.graphics.path.so	tier2	misc	10096	3	libm.so|libdl.so|libc.so	1	0	JNI_OnLoad@@LIBANDROIDX.GRAPHICS.PATH
libavutil-55.so	tier2	misc	366152	2	libm.so|libc.so	489	0	-
libblur-lib.so	tier2	misc	9944	6	liblog.so|libjnigraphics.so|libm.so|libstdc++.so|libdl.so|libc.so	12	0	JNI_OnLoad
libcrashsdk.so	tier2	misc	647928	4	liblog.so|libz.so|libc.so|libdl.so	18	0	JNI_OnLoad@@CRASHSDK
libdatastore_shared_counter.so	tier2	misc	7112	3	libm.so|libdl.so|libc.so	9	4	Java_androidx_datastore_core_NativeSharedCounter_nativeCreateSharedCounter|Java_androidx_datastore_core_NativeSharedCounter_nativeGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeIncrementAndGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeTruncateFile
libffmpeg-command.so	tier2	misc	493744	5	libffmpeg-org.so|liblog.so|libm.so|libdl.so|libc.so	585	14	JNI_OnLoad|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancel|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancelAllTasks|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancelTask|Java_com_coder_ffmpeg_jni_FFmpegCmd_codec
libffmpeg-org.so	tier2	misc	18406632	6	libc.so|libm.so|libz.so|libdl.so|liblog.so|libandroid.so	10113	0	-
libgpuinfo.so	tier1	gpu_probe	341944	4	libvulkan.so|libm.so|libdl.so|libc.so	524	4	Java_com_winemu_core_GPUInfoQuery_getGPUDeviceName|Java_com_winemu_core_GPUInfoQuery_getGPUDriverVersion|Java_com_winemu_core_GPUInfoQuery_getGPUId|Java_com_winemu_core_GPUInfoQuery_getGPUVendor
libijkffmpeg.so	tier2	streaming_media	6216312	4	libm.so|libz.so|libdl.so|libc.so	8587	0	-
libijkplayer.so	tier2	streaming_media	545704	7	libijkffmpeg.so|libijksdl.so|liblog.so|libandroid.so|libdl.so|libc.so|libm.so	826	0	JNI_OnLoad
libijksdl.so	tier2	streaming_media	362832	9	libijkffmpeg.so|liblog.so|libandroid.so|libOpenSLES.so|libEGL.so|libGLESv2.so|libdl.so|libc.so|libm.so	886	11	JNI_OnLoad|SDL_AMediaCodecJava_createByCodecName|SDL_AMediaCodecJava_dequeueInputBuffer|SDL_AMediaCodecJava_dequeueOutputBuffer|SDL_AMediaCodecJava_getObject
