abi	library	tier	cluster	size_bytes	sha256	needed_count	needed	export_count	jni_export_count	key_exports	string_markers
arm64-v8a	libandroidx.graphics.path.so	tier2	misc	10096	41e9a793c43a0f4fddb19e33f346bace464f30f888ba7b9eaf96294ea115bfb6	3	libm.so|libdl.so|libc.so	1	0		
arm64-v8a	libc++_shared.so	tier2	misc	1292896	4e2dcc0b0beae5c9dcbf25d90400a4de203cbffbfae6526d4be7befa88a77c09	3	libc.so|libm.so|libdl.so	2336	0	_ZNSt6__ndk112strstreambuf7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk113basic_filebufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk118shared_timed_mutex11lock_sharedEv	fex|X11
arm64-v8a	libdatastore_shared_counter.so	tier2	misc	7112	d3e48717c9aa147e0ab21063ba0e8e0211cabf8bf40b222640829519edbf58e1	3	libm.so|libdl.so|libc.so	9	4	Java_androidx_datastore_core_NativeSharedCounter_nativeCreateSharedCounter|Java_androidx_datastore_core_NativeSharedCounter_nativeGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeIncrementAndGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeTruncateFile	
arm64-v8a	libdummyvk.so	tier2	misc	1813296	173c8c4927bed81148874cbb700585f931ee833823545f5f2a64381db445c5e6	6	libandroid.so|liblog.so|libvulkan.so|libm.so|libdl.so|libc.so	1929	1	Java_com_winlator_xenvironment_components_VortekRendererComponent_createVkContext|_ZNSt6__ndk113basic_filebufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE7seekoffExNS_8ios_base7seekdirEj	fex|vkEnumerateInstanceVersion|memfd
arm64-v8a	libevshim.so	tier2	misc	11712	72fb647096325282e78dd83879528d9a2d360579d4a6ed07f607af42df9ce524	5	libSDL2.so|liblog.so|libdl.so|libm.so|libc.so	4	0		
arm64-v8a	libextras.so	tier2	misc	2285496	757fa1673787e704c432e4e583c4e6bbdb0cb63e3529f463ed087a90ee803515	8	liblog.so|libandroid.so|libEGL.so|libGLESv2.so|libGLESv3.so|libdl.so|libm.so|libc.so	551	10	Java_com_winlator_core_GPUInformation_enumerateExtensions|Java_com_winlator_core_GPUInformation_getRenderer|Java_com_winlator_core_GPUInformation_getVendorID|Java_com_winlator_core_GPUInformation_getVulkanVersion|Java_com_winlator_renderer_GPUImage_createHardwareBuffer|Java_com_winlator_renderer_GPUImage_createImageKHR|Java_com_winlator_renderer_GPUImage_destroyHardwareBuffer|Java_com_winlator_renderer_GPUImage_destroyImageKHR|Java_com_winlator_renderer_GPUImage_hardwareBufferFromSocket|Java_com_winlator_renderer_GPUImage_lockHardwareBuffer	fex
arm64-v8a	libhook_impl.so	tier2	misc	2181616	4c26f1528ca2049e4d2398a314178f89042e10e35917456d5e578d077c4c4872	5	liblog.so|libandroid.so|libdl.so|libm.so|libc.so	530	0		fex
arm64-v8a	libltdl.so	tier2	misc	34424	9edbccc42de49244d42a5e8fdc001828cf5a5512f1705419bcd96e23783c2998	2	libdl.so|libc.so	78	0		
arm64-v8a	libmain_hook.so	tier2	misc	8152	661ed2bb87c38bb00774c64e96de512bc709c260264193e2bb3e2a240b76b325	6	libhook_impl.so|libandroid.so|libdl.so|liblog.so|libm.so|libc.so	2	0		
arm64-v8a	libopenxr_loader.so	tier2	misc	1826968	cd6c054dbc2c75d7d94d62c15267fb78d04cbdeeb4b8899fca01816f04620501	5	libdl.so|liblog.so|libandroid.so|libm.so|libc.so	56	0		fex|memfd
arm64-v8a	libpatchelf.so	tier2	misc	8995040	8888caf11b0515fab08aeb5cb42d64a27ce0c138c8f02b0de6b3c1f27e969cc0	3	libm.so|libdl.so|libc.so	3053	0	_ZNSt6__ndk113basic_filebufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE7seekoffExNS_8ios_base7seekdirEj	fex
arm64-v8a	libpulse.so	tier2	misc	293456	3a97a458ffc70732d167855bc97c7dea39cb338bfa7d74d4c851ab27f2ec2d54	5	libpulsecommon-13.0.so|libsndfile.so|libm.so|libdl.so|libc.so	378	0		X11|memfd
arm64-v8a	libpulseaudio.so	tier2	misc	67416	a9511cd0984a12f235752af98c11f8a31971b10c1d62da324996d8c8a7e1d0c1	8	libpulsecore-13.0.so|libpulse.so|libpulsecommon-13.0.so|libsndfile.so|libltdl.so|libm.so|libdl.so|libc.so	33	0		memfd
arm64-v8a	libpulsecommon-13.0.so	tier2	misc	415400	c008c397967eb26fbc9bb1164998d8b62dc79179c8be27f299d5375f177981e1	4	libsndfile.so|libm.so|libdl.so|libc.so	782	0	pa_common_command_register_memfd_shmid|pa_memimport_attach_memfd|pa_mempool_get_memfd_fd|pa_mempool_is_memfd_backed|pa_mempool_take_memfd_fd|pa_pstream_attach_memfd_shmid|pa_pstream_enable_memfd|pa_pstream_get_memfd|pa_pstream_register_memfd_mempool	X11|memfd
arm64-v8a	libpulsecore-13.0.so	tier2	misc	547264	06bc87b6f725ee2e405648bc375eb7c3c2569731eae8d37ad8ccd31e8fa7f865	7	libltdl.so|libpulse.so|libpulsecommon-13.0.so|libsndfile.so|libm.so|libdl.so|libc.so	634	0		fex|memfd
arm64-v8a	libsndfile.so	tier2	misc	403392	2df0fde1f7bbc4b9839e890ff8ab5dd3b73c82e31eb140be4f804c3dcb44fc2f	3	libm.so|libdl.so|libc.so	273	0		
